transaction_id,timestamp,amount,declared_instrument,sub_instrument,card_bin,card_tier,mcc,merchant_true_category,tax_amount_provided,po_code_provided,line_item_detail_provided,contracted_flat_rate,fee_charged,tax_charged,turnover_tier,injected_issue,classification,matched_rule_id,expected_fee,fee_charged,delta,note
TXN_000001,2026-08-25 18:54:53,52442.14,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000002,2026-08-18 08:29:18,2021.95,UPI,RuPay_credit_UPI,607111.0,basic,5045,B2B wholesale,True,True,False,0.02,30.33,5.46,above_20L,clean,Matched,R4,30.33,30.33,0.0,Accurate fee verified against R4.
TXN_000003,2026-08-25 17:53:11,35109.13,Card,Visa_credit,433333.0,corporate,5045,B2B wholesale,False,False,True,0.02,983.05,176.95,above_20L,R10_l2_l3_downgrade,Leaked,R10,702.18,983.05,280.87,"Statutory disparity against R10: expected Rs 702.18, charged Rs 983.05."
TXN_000004,2026-08-18 13:53:45,2002.52,UPI,bank_UPI,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000005,2026-08-28 02:38:14,62896.77,Card,RuPay_debit,511111.0,basic,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R2,0.0,0.0,0.0,Accurate fee verified against R2.
TXN_000006,2026-08-28 10:08:05,2148.5,UPI,,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,exception_missing_tag,Exception,NONE,,0.0,,Missing sub_instrument routing tag; cannot verify applicable statutory MDR.
TXN_000007,2026-08-29 17:11:15,63786.84,Card,Debit_non_rupay,,,5411,B2B wholesale,True,True,True,0.02,574.08,103.33,above_20L,R12_mcc_misclassification,Matched,R8,574.08,574.08,0.0,Accurate fee verified against R8.
TXN_000008,2026-08-18 15:10:03,32179.35,Card,Visa_credit,533333.0,corporate,5045,B2B wholesale,False,False,True,0.02,901.02,162.18,above_20L,R10_l2_l3_downgrade,Leaked,R10,643.59,901.02,257.43,"Statutory disparity against R10: expected Rs 643.59, charged Rs 901.02."
TXN_000009,2026-08-27 20:30:51,30442.28,Card,,522222.0,premium_rewards,5045,B2B wholesale,True,True,True,0.02,608.85,109.59,above_20L,exception_missing_tag,Exception,NONE,,608.85,,Missing sub_instrument routing tag; cannot verify applicable statutory MDR.
TXN_000010,2026-08-25 08:16:29,29461.96,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
