transaction_id,timestamp,amount,declared_instrument,sub_instrument,card_bin,card_tier,mcc,merchant_true_category,tax_amount_provided,po_code_provided,line_item_detail_provided,contracted_flat_rate,fee_charged,tax_charged,turnover_tier,injected_issue
TXN_000001,2026-08-17 22:03:55,2959.02,Card,RuPay_debit,607222,corporate,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean
TXN_000002,2026-08-27 07:31:18,47477.18,UPI,bank_UPI,,N/A,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean
TXN_000003,2026-08-29 15:27:59,2007.42,UPI,bank_UPI,,N/A,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean
TXN_000004,2026-08-26 20:50:25,2005.33,UPI,PPI_wallet_UPI,,N/A,5045,B2B wholesale,True,True,False,0.02,22.06,3.97,above_20L,clean
TXN_000005,2026-08-29 19:57:07,6491.16,Card,Debit_non_rupay,,N/A,5411,B2B wholesale,True,True,False,0.02,58.42,10.52,above_20L,R12_mcc_misclassification
TXN_000006,2026-08-18 11:24:25,43008.18,Card,Mastercard_credit,422222,premium_rewards,5045,B2B wholesale,True,True,True,0.02,860.16,154.83,above_20L,clean
TXN_000007,2026-08-28 05:24:17,2030.38,UPI,bank_UPI,,N/A,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean
TXN_000008,2026-08-15 22:50:03,2015.85,UPI,bank_UPI,,N/A,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean
TXN_000009,2026-08-16 06:13:10,2012.75,UPI,bank_UPI,,N/A,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean
TXN_000010,2026-08-16 08:16:28,8121.14,Card,RuPay_debit,533333,corporate,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean
TXN_000011,2026-08-28 16:17:57,2012.94,UPI,bank_UPI,,N/A,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean
TXN_000012,2026-08-26 21:10:45,2028.69,UPI,bank_UPI,,N/A,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean
